Brand,Site,Image_URL,Email,HasEnsuite,HasStudio,HasTwin,LowestPrice,HighestPrice,YearOpened,Distance_TCD(Walk),Distance_TCD(Bike),Distance_TCD(Public_Transport),Gym,TV_Room,Study_Space,Laundry_Room,Cinema_Room,Rooftop_Garden,Balcony,Dishwasher,Stovetop,Cafeteria,Sports_Hall,Fast_WiFi,Disability_Access,District,Flatmates,Other_Info,Outdated
Aparto,Montrose Hall,https://s3.amazonaws.com/hines-images/montrose-student-housing/apartomontrose_exterior_hres.gif,,y,n,y,€220.00,€320.00,2022,1 hr,,,Gym,TV Room,,,,,,,,Cafeteria,,Fast Wifi,,4,,,
Aparto,Beckett House,"https://casita-img.imgix.net/uploads/buildings/1116/building/orig/beckett-house-dublin-199194908520210713121406PM.jpeg?auto=compress,format,enhance&w=1200",,y,n,n,€251.00,€292.00,2018,20 min,,,Gym,TV Room,,,,,,,,,,,Disability Access,,,,
Aparto,Dorset Point,https://www.dbfl.ie/wp-content/uploads/2017/09/Dorset-St-Student-Accomodation-1-Resized.jpg,,y,n,y,€231.00,€256.00,2017,20 min,,,Gym,TV Room,,,,,,,,,,,,,,,
Mezzino,Brickworks,https://www.mezzino.com/wp-content/uploads/2022/08/Brickworks-1-1024x768.webp,,y,n,y,€228.00,€290.00,2018,30 min,,,Gym,TV Room,,,,,,,,,,,,,,,
Fresh,Highlight Thomas Street,https://afs-pbsa-images-prod.s3.eu-west-2.amazonaws.com/lphs_3129_additional13052020113127.jpg,,y,n,,€219.00,€314.00,2018,20 min,,,Gym,TV Room,,,,,,,,,,,,,,,
Fresh,Cork Street,https://i.ytimg.com/vi/t3yVrdCfpnE/maxresdefault.jpg,,y,y,,€257.00,€392.00,2020,25 min,,,Gym,TV Room,,,,,,,,,,,,,,,
Fresh,Highlight Parkgate Street,https://cdn.universityliving.com/fit-in/1920x0/filters:no_upscale()/filters:format(webp)/cms/SSyLiiNiFQmQLtj3khyV2ndFKmaS7u.jpg,,y,n,,€230.00,€278.00,2020,30 min,,,Gym,TV Room,,,,,,,,,,,,,,,
Casita,From Here Blackhall Place,https://herestudents.com/wp-content/uploads/2022/07/Dublin-Blackhall-Place-Courtyard-2-1024x576.jpg,,y,n,,€223.00,€275.00,2018,25 min,,,Gym,TV Room,,,,,,,,,,,,,,,y
HeyDay,Carmanhall Crosslane,https://d15duu1h3gsd2d.cloudfront.net/Pictures/2000xAny/8/8/4/82884_Carmans-Hall-Dublin.jpg,,y,n,,€268.00,€335.00,2019,15 min,,,Gym,TV Room,,,,,,,,,,,,,,,y
Scape,Aungier Street,https://cdn-sl-a1.scape.com/sites/default/files/styles/small/public/location_thumbnail/2022-01/Dublin-Scape-Page-Tile-Square.jpg,,y,y,,€279.00,€283.00,2020,10 min,,,Gym,TV Room,,,,,,,,,,,,,,,y
Liv,LIV Dublin,https://livstudent.com/wp-content/uploads/2023/03/7710495.jpg,,y,n,,€273.00,€279.00,2018,15 min,,,Gym,TV Room,,,,,,,,,,,,,,,
Nido,Ardee Point,https://www.johnpaul.ie/wp-content/uploads/ardee2.jpg,,y,y,,€265.00,€372.00,2021,20 min,,,Gym,TV Room,,,,,,,,,,,,,,,
Mezzino,Highfield House,https://www.mezzino.com/wp-content/uploads/2019/09/Highfield-House-Courtyard_1-1024x683.jpg,,y,y,,€232.00,€264.00,2019,40 min,,,Gym,TV Room,,,,,,,,,,,,,,,
Scape,Scape Dublin,https://cdn-sl-a1.scape.com/sites/default/files/styles/small/public/location_thumbnail/2022-01/Dublin-Scape-Page-Tile-Square.jpg,,y,y,,,,,10,,,,,,,,,,,,,,,,,,,y
